make,fuel_type,aspiration,num_of_doors_num,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,num_of_cylinders_num,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
nissan,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,4,120,2bbl,8.5,97,5200,27,34,Low
nissan,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,6,181,mpfi,9,152,5200,17,22,High
nissan,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,6,181,mpfi,9,152,5200,17,22,High
nissan,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,6,181,mpfi,9,152,5200,19,25,High
nissan,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,6,181,mpfi,9,160,5200,19,25,High
nissan,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,6,181,mpfi,7.8,200,5200,17,23,High
nissan,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,6,181,mpfi,9,160,5200,19,25,High
peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,4,120,mpfi,8.4,97,5000,19,24,High
peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,4,152,idi,21,95,4150,28,33,High
peugot,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,4,120,mpfi,8.4,97,5000,19,24,High
peugot,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,4,152,idi,21,95,4150,25,25,High
peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,4,120,mpfi,8.4,95,5000,19,24,High
peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,4,152,idi,21,95,4150,28,33,High
peugot,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,4,120,mpfi,8.4,95,5000,19,24,High
peugot,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,4,152,idi,21,95,4150,25,25,High
peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,4,120,mpfi,8.4,97,5000,19,24,High
peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,4,152,idi,21,95,4150,28,33,High
peugot,gas,turbo,4,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,4,134,mpfi,7,142,5600,18,24,High
plymouth,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,4,90,2bbl,9.4,68,5500,37,41,Low
plymouth,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,4,98,spdi,7.6,102,5500,24,30,Low
plymouth,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,4,90,2bbl,9.4,68,5500,31,38,Low
plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,4,90,2bbl,9.4,68,5500,31,38,Low
plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,4,98,2bbl,9.4,68,5500,31,38,Low
plymouth,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,4,122,2bbl,8.5,88,5000,24,30,Low
plymouth,gas,turbo,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,4,156,spdi,7,145,5000,19,24,High
porsche,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,4,151,mpfi,9.5,143,5500,19,27,High
porsche,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,6,194,mpfi,9.5,207,5900,17,25,High
porsche,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,6,194,mpfi,9.5,207,5900,17,25,High
porsche,gas,std,2,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,six,6,194,mpfi,9.5,207,5900,17,25,High
porsche,gas,std,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,eight,8,203,mpfi,10,288,5750,17,28,High
saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,4,121,mpfi,9.31,110,5250,21,28,High
saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,4,121,mpfi,9.3,110,5250,21,28,High
saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,4,121,mpfi,9.3,110,5250,21,28,High
saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,4,121,mpfi,9.3,110,5250,21,28,High
saab,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,4,121,mpfi,9,160,5500,19,26,High
saab,gas,turbo,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,4,121,mpfi,9,160,5500,19,26,High
subaru,gas,std,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,4,97,2bbl,9,69,4900,31,36,Low
subaru,gas,std,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,4,108,2bbl,8.7,73,4400,26,31,Low
subaru,gas,std,2,hatchback,fwd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,4,108,2bbl,8.7,73,4400,26,31,Low
subaru,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,four,4,108,2bbl,9.5,82,4800,32,37,Low
subaru,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,four,4,108,2bbl,9.5,82,4400,28,33,Low
subaru,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,four,4,108,mpfi,9,94,5200,26,32,Low
subaru,gas,std,4,sedan,fwd,front,97,172,65.4,54.3,2385,ohcf,four,4,108,2bbl,9,82,4800,24,25,Low
subaru,gas,turbo,4,sedan,fwd,front,97,172,65.4,54.3,2510,ohcf,four,4,108,mpfi,7.7,111,4800,24,29,High
subaru,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,four,4,108,2bbl,9,82,4800,28,32,Low
subaru,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,four,4,108,mpfi,9,94,5200,25,31,High
subaru,gas,std,4,wagon,fwd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,4,108,2bbl,9,82,4800,23,29,Low
subaru,gas,turbo,4,wagon,fwd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,4,108,mpfi,7.7,111,4800,23,23,High
toyota,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,4,92,2bbl,9,62,4800,35,39,Low
toyota,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,4,92,2bbl,9,62,4800,31,38,Low
toyota,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,4,92,2bbl,9,62,4800,31,38,Low
toyota,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,4,92,2bbl,9,62,4800,31,37,Low
toyota,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2290,ohc,four,4,92,2bbl,9,62,4800,27,32,Low
toyota,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,3110,ohc,four,4,92,2bbl,9,62,4800,27,32,Low
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,four,4,98,2bbl,9,70,4800,30,37,Low
toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,4,98,2bbl,9,70,4800,30,37,Low
toyota,diesel,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,four,4,110,idi,22.5,56,4500,34,36,Low
toyota,diesel,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,4,110,idi,22.5,56,4500,38,47,Low
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,four,4,98,2bbl,9,70,4800,38,47,Low
toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,4,98,2bbl,9,70,4800,28,34,Low
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,4,98,2bbl,9,70,4800,28,34,Low
toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,four,4,98,2bbl,9,70,4800,29,34,Low
toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,four,4,98,2bbl,9,70,4800,29,34,Low
toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,four,4,98,mpfi,9.4,112,6600,26,29,Low
toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,four,4,98,mpfi,9.4,112,6600,26,29,Low
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,four,4,146,mpfi,9.3,116,4800,24,30,Low
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,four,4,146,mpfi,9.3,116,4800,24,30,Low
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,four,4,146,mpfi,9.3,116,4800,24,30,Low
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,four,4,146,mpfi,9.3,116,4800,24,30,High
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,four,4,146,mpfi,9.3,116,4800,24,30,High
toyota,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,four,4,146,mpfi,9.3,116,4800,24,30,High
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,4,122,mpfi,8.7,92,4200,29,34,Low
toyota,diesel,turbo,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,4,110,idi,22.5,73,4500,30,33,High
toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,4,122,mpfi,8.7,92,4200,27,32,Low
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,4,122,mpfi,8.7,92,4200,27,32,High
toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,4,122,mpfi,8.7,92,4200,27,32,High
toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,six,6,171,mpfi,9.3,161,5200,20,24,High
toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,six,6,171,mpfi,9.3,161,5200,19,24,High
toyota,gas,std,4,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,6,171,mpfi,9.2,156,5200,20,24,High
toyota,gas,std,4,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,6,161,mpfi,9.2,156,5200,19,24,High
volkswagen,diesel,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,4,97,idi,23,52,4800,37,46,Low
volkswagen,gas,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,4,109,mpfi,9,85,5250,27,34,Low
volkswagen,diesel,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,4,97,idi,23,52,4800,37,46,Low
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,4,109,mpfi,9,85,5250,27,34,Low
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,4,109,mpfi,9,85,5250,27,34,Low
volkswagen,diesel,turbo,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,4,97,idi,23,68,4500,37,42,Low
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,four,4,109,mpfi,10,100,5500,26,32,Low
volkswagen,gas,std,2,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,four,4,109,mpfi,8.5,90,5500,24,29,High
volkswagen,gas,std,2,hatchback,fwd,front,94.5,165.7,64,51.4,2221,ohc,four,4,109,mpfi,8.5,90,5500,24,29,Low
volkswagen,gas,std,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,5,136,mpfi,8.5,110,5500,19,24,High
volkswagen,diesel,turbo,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,4,97,idi,23,68,4500,33,38,High
volkswagen,gas,std,4,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,4,109,mpfi,9,88,5500,25,31,High
volvo,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,4,141,mpfi,9.5,114,5400,23,28,High
volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,4,141,mpfi,9.5,114,5400,23,28,High
volvo,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,4,141,mpfi,9.5,114,5400,24,28,High
volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,4,141,mpfi,9.5,114,5400,24,28,High
volvo,gas,turbo,4,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,4,130,mpfi,7.5,162,5100,17,22,High
volvo,gas,turbo,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,4,130,mpfi,7.5,162,5100,17,22,High
volvo,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,4,141,mpfi,9.5,114,5400,23,28,High
volvo,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,4,141,mpfi,8.7,160,5300,19,25,High
volvo,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,6,173,mpfi,8.8,134,5500,18,23,High
volvo,diesel,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,6,145,idi,23,106,4800,26,27,High
volvo,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,4,141,mpfi,9.5,114,5400,19,25,High
